Submission Date,Username,Level,Team,Total XP,Your XP Screenshot:,Collector Badge,Your Collector Badge Screenshot:,Jogger Badge,Your Jogger Badge Screenshot:,Breeder Badge,Your Breeder Badge Screenshot:,No Label,IP,Submission ID,Edit Link
2017-04-15 10:58:07,Pinkiiee,36,Mystic,9473397,[Screenshot_20170415-115527.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/0e22d9fScreenshot_20170415-115527.png,19419,[Screenshot_20170415-115431.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/0e43b6eScreenshot_20170415-115431.png,997.4,[Screenshot_20170415-115448.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/0d0ca27Screenshot_20170415-115448.png,337,[Screenshot_20170415-115440.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/0d36bd3Screenshot_20170415-115440.png,,142.169.78.234,3680810874321475183,Edit Submission
2017-04-15 10:58:15,Jaytaa,27,Mystic,1235199,[Screenshot_20170415-115535.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/136194fScreenshot_20170415-115535.png,2531,[Screenshot_20170415-115346.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/166d591Screenshot_20170415-115346.png,168.5,[Screenshot_20170415-115358.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/143efe8Screenshot_20170415-115358.png,61,[Screenshot_20170415-115409.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/13d9002Screenshot_20170415-115409.png,,199.7.157.125,3680810955218989254,Edit Submission
2017-04-15 10:58:26,Hashable,31,Instinct,137360,[Screenshot_20170415-115335.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/20b3d04Screenshot_20170415-115335.png,6791,[Screenshot_20170415-115404.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/1fec063Screenshot_20170415-115404.png,633.5,[Screenshot_20170415-115418.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/1a4f672Screenshot_20170415-115418.png,296,[Screenshot_20170415-115426.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/1c0895bScreenshot_20170415-115426.png,,199.119.233.196,3680811066919695386,Edit Submission
2017-04-15 10:59:33,pathos41,39,Mystic,15659299,[IMG_7466.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/63e5b9dIMG_7466.PNG,37857,[IMG_7467.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/639ff8bIMG_7467.PNG,1816.6,[IMG_7468.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/6442799IMG_7468.PNG,698,[IMG_7469.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/6398873IMG_7469.PNG,,24.114.81.98,3680811738913586699,Edit Submission
2017-04-15 10:59:35,Shouganai,33,Mystic,383785,[Screenshot_20170415-114529.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/9f8f248Screenshot_20170415-114529.png,10174,[Screenshot_20170415-114604.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/226db5dScreenshot_20170415-114604.png,1091.5,[Screenshot_20170415-114539.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/403a443Screenshot_20170415-114539.png,487,[Screenshot_20170415-115729.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/09a61c5Screenshot_20170415-115729.png,,24.114.92.169,3680811759618530577,Edit Submission
2017-04-15 11:00:07,Infinitrize,36,Instinct,9201958,[Screenshot_20170415-115723.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/0208fdcScreenshot_20170415-115723.png,20153,[Screenshot_20170415-115807.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/193a928Screenshot_20170415-115807.png,1638.5,[Screenshot_20170415-115826.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/2cdb8ddScreenshot_20170415-115826.png,,,,24.114.85.204,3680812074026359915,Edit Submission
2017-04-15 11:03:54,Soonet,30,Mystic,402778,[IMG_9980.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/96e95faIMG_9980.PNG,5575,[IMG_9981.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/cee51ccIMG_9981.PNG,821.4,[IMG_9982.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/0da8691IMG_9982.PNG,537,[IMG_9983.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/3dca026IMG_9983.PNG,,24.114.93.161,3680814331615562175,Edit Submission
2017-04-15 11:03:58,Jenechoottawa,27,Mystic,246433,[IMG_9640.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/6db05ddIMG_9640.PNG,3266,[IMG_9641.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/6dab189IMG_9641.PNG,842,[IMG_9644.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/48936ebIMG_9644.PNG,244,[IMG_9643.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/6d480f1IMG_9643.PNG,,142.169.78.248,3680814388426145399,Edit Submission
2017-04-15 11:04:08,Misvrjsbdhd,23,Valor,26665,[Screenshot_20170415-120105.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/e9a26cdScreenshot_20170415-120105.png,1468,[Screenshot_20170415-120205.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/0ccdf80Screenshot_20170415-120205.png,203.4,[Screenshot_20170415-120246.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/36e65acScreenshot_20170415-120246.png,69,[Screenshot_20170415-120338.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/7637e08Screenshot_20170415-120338.png,,199.119.233.185,3680814485818851959,Edit Submission
2017-04-15 11:07:11,KennDemon,26,Instinct,79495,[IMG_0390.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/2d87843IMG_0390.PNG,2538,[IMG_0391.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/2bce627IMG_0391.PNG,343.6,[IMG_0393.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/28ce3c1IMG_0393.PNG,194,[IMG_0394.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/28c915eIMG_0394.PNG,,142.169.78.150,3680816300514467243,Edit Submission
2017-04-15 11:07:14,WingZero,39,Mystic,17761731,[IMG_2775.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/7b31bb4IMG_2775.PNG,39563,[IMG_2776.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/fb63930IMG_2776.PNG,1932.1,[IMG_2777.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/c2d07d7IMG_2777.PNG,652,[IMG_2778.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/e8c8dddIMG_2778.PNG,,24.114.88.25,3680816345287592479,Edit Submission
2017-04-15 11:08:44,HollowHeartt,29,Instinct,33571,[Screenshot_20170415-120351.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/8b3ec61Screenshot_20170415-120351.png,4394,[Screenshot_20170415-120359.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/8b25dc2Screenshot_20170415-120359.png,625.2,[Screenshot_20170415-120406.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/8b20d69Screenshot_20170415-120406.png,507,[Screenshot_20170415-120413.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/8b0c02fScreenshot_20170415-120413.png,,142.169.193.112,3680817242113017533,Edit Submission
2017-04-15 11:13:06,datasprite12,24,Mystic,110541,[Screenshot_2017-04-15-12-09-36.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/ef79b92Screenshot_2017-04-15-12-09-36.png,1534,[Screenshot_2017-04-15-12-09-49.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/20bc87fScreenshot_2017-04-15-12-09-49.png,231.9,[Screenshot_2017-04-15-12-11-42.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/5265ad7Screenshot_2017-04-15-12-11-42.png,75,[Screenshot_2017-04-15-12-12-23.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/8c84a14Screenshot_2017-04-15-12-12-23.png,,24.114.93.74,3680819864736819673,Edit Submission
2017-04-15 11:14:46,dtjean,21,Instinct,16620,[IMG_3603.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/f4b9bb5IMG_3603.PNG,566,[IMG_3604.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/f4828e4IMG_3604.PNG,26.1,[IMG_3605.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/f42a479IMG_3605.PNG,22,[IMG_3606.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/f474d97IMG_3606.PNG,,142.169.78.8,3680820868879523874,Edit Submission
2017-04-15 11:15:36,KJz92,32,Valor,117104,[Screenshot_20170415-121405.jpg] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/2603b2dScreenshot_20170415-121405.jpg,7985,[Screenshot_20170415-121441.jpg] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/257db8fScreenshot_20170415-121441.jpg,548.9,[Screenshot_20170415-121502.jpg] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/251ab7fScreenshot_20170415-121502.jpg,170,[Screenshot_20170415-121523.jpg] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/252fff3Screenshot_20170415-121523.jpg,,24.114.99.15,3680821365196727803,Edit Submission
2017-04-15 11:15:53,Leileipad,34,Mystic,95350,[IMG_6452.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/37c547dIMG_6452.PNG,13130,[IMG_6454.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/377a6ceIMG_6454.PNG,,,,,,204.48.95.199,3680821529918163288,Edit Submission
2017-04-15 11:28:25,Krys82105d,28,Mystic,224558,[Screenshot_2017-04-15-12-07-07.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/2814298Screenshot_2017-04-15-12-07-07.png,3413,[Screenshot_2017-04-15-12-25-01.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/27ea4b7Screenshot_2017-04-15-12-25-01.png,589.1,[Screenshot_2017-04-15-12-25-15.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/27d0868Screenshot_2017-04-15-12-25-15.png,676,[Screenshot_2017-04-15-12-25-31.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/27ddbecScreenshot_2017-04-15-12-25-31.png,,184.151.246.117,3680829057112268051,Edit Submission
2017-04-15 11:30:57,Avalai,30,Instinct,206285,,6574,,572.1,,149,,,184.151.246.85,3680830575866313820,Edit Submission
2017-04-15 11:31:20,JessAlice1988,34,Instinct,444479,,10551,,,,,,,184.151.246.147,3680830807417278884,Edit Submission
2017-04-15 12:45:06,SodomEyes,34,Instinct,69416,[IMG_2178.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/2119f35IMG_2178.PNG,13951,[IMG_2176.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/20e82d1IMG_2176.PNG,1436.6,[IMG_2177.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/20e8991IMG_2177.PNG,,,,184.151.246.214,3680875064121597654,Edit Submission
2017-04-15 12:50:00,gigantictuna,38,Instinct,13096372,[Screenshot_20170415-134826.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/453e181Screenshot_20170415-134826.png,21895,[Screenshot_20170415-134908.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/47aa0b9Screenshot_20170415-134908.png,921.2,[Screenshot_20170415-134925.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/452e510Screenshot_20170415-134925.png,554,[Screenshot_20170415-134945.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/455a3bfScreenshot_20170415-134945.png,,142.169.78.150,3680878000512941400,Edit Submission
2017-04-15 12:57:52,Apohcalypse,37,Mystic,11471027,[Screenshot_20170415-135525.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/e1a5f12Screenshot_20170415-135525.png,26542,[Screenshot_20170415-135508.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/1eea47bScreenshot_20170415-135508.png,1693,[Screenshot_20170415-135445.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/1ee23cdScreenshot_20170415-135445.png,498,[Screenshot_20170415-135458.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/1eb64c0Screenshot_20170415-135458.png,,142.169.193.161,3680882721618244481,Edit Submission
2017-04-15 12:57:59,PhoenixAstra,36,Mystic,8580736,[IMG_5131.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/26731ddIMG_5131.PNG,24850,[IMG_5132.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/263485fIMG_5132.PNG,1170.3,[IMG_5133.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/262c966IMG_5133.PNG,352,[IMG_5134.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/2615af3IMG_5134.PNG,,24.114.99.7,3680882797992836749,Edit Submission
2017-04-15 12:58:44,Hashable,31,Instinct,317530,,6943,,641,,311,,,199.119.233.196,3680883246917687555,Edit Submission
2017-04-15 12:59:09,Jaytaa,28,Mystic,1360239,[Screenshot_20170415-135633.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/6ab80d8Screenshot_20170415-135633.png,2693,[Screenshot_20170415-135610.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/6bbcb10Screenshot_20170415-135610.png,175.9,[Screenshot_20170415-135621.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/66008ecScreenshot_20170415-135621.png,66,[Screenshot_20170415-135628.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/6aa4b40Screenshot_20170415-135628.png,,199.7.157.125,3680883495214728334,Edit Submission
2017-04-15 12:59:10,Pinkiiee,37,Mystic,9630497,[Screenshot_20170415-135609.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/6defb51Screenshot_20170415-135609.png,19586,[Screenshot_20170415-135641.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/6cc31deScreenshot_20170415-135641.png,1007,[Screenshot_20170415-135632.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/6d63b2eScreenshot_20170415-135632.png,342,[Screenshot_20170415-135617.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/6ceca1dScreenshot_20170415-135617.png,,142.169.78.234,3680883504323460967,Edit Submission
2017-04-15 12:59:36,Infinitrize,37,Instinct,9944258,[Screenshot_20170415-135828.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/5b78136Screenshot_20170415-135828.png,20153,[Screenshot_20170415-135908.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/75a872cScreenshot_20170415-135908.png,1638.5,[Screenshot_20170415-135921.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/8284ef3Screenshot_20170415-135921.png,,,,24.114.85.204,3680883764022885937,Edit Submission
2017-04-15 12:59:53,Rippopottamus,33,Instinct,801228,[IMG_0783.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/98181c9IMG_0783.PNG,11380,[IMG_0784.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/97a7e19IMG_0784.PNG,699.5,[IMG_0786.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/9785ebaIMG_0786.PNG,281,[IMG_0785.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/978826fIMG_0785.PNG,,209.171.88.109,3680883939015562204,Edit Submission
2017-04-15 13:00:05,Misvrjsbdhd,23,Valor,78965,[Screenshot_20170415-135738.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/34d61c0Screenshot_20170415-135738.png,1525,[Screenshot_20170415-135832.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/5caba17Screenshot_20170415-135832.png,205.4,[Screenshot_20170415-135907.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/7f2cdeeScreenshot_20170415-135907.png,70,[Screenshot_20170415-135937.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/9a2076aScreenshot_20170415-135937.png,,199.119.233.185,3680884055818404266,Edit Submission
2017-04-15 13:00:11,Ninjatsu97,34,Mystic,4751587,[Screenshot_20170415-135657.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/aa230baScreenshot_20170415-135657.png,11154,[Screenshot_20170415-135630.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/aa1e4a4Screenshot_20170415-135630.png,386,[Screenshot_20170415-135637.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/a9a3b65Screenshot_20170415-135637.png,184,[Screenshot_20170415-135644.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/aa082cfScreenshot_20170415-135644.png,,142.169.78.201,3680884111026161174,Edit Submission
2017-04-15 13:01:23,WingZero,39,Mystic,17959811,[IMG_2779.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/9a76c0dIMG_2779.PNG,39800,[IMG_2780.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/bc47429IMG_2780.PNG,1939.9,[IMG_2781.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/d304630IMG_2781.PNG,667,[IMG_2782.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/e835495IMG_2782.PNG,,24.114.88.25,3680884825283223292,Edit Submission
2017-04-15 13:02:28,pathos41,39,Mystic,16389349,[IMG_7470.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/3331f29IMG_7470.PNG,38014,[IMG_7471.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/32de0d5IMG_7471.PNG,1824,[IMG_7472.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/32d6c38IMG_7472.PNG,702,[IMG_7473.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/32d18bfIMG_7473.PNG,,24.114.81.98,3680885488913696916,Edit Submission
2017-04-15 13:03:24,HollowHeartt,29,Instinct,131581,[Screenshot_20170415-135950.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/6b6b46bScreenshot_20170415-135950.png,4494,[Screenshot_20170415-135957.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/6aad0faScreenshot_20170415-135957.png,627.5,[Screenshot_20170415-140010.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/6a14318Screenshot_20170415-140010.png,511,[Screenshot_20170415-140016.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/71044378219255/6a9f205Screenshot_20170415-140016.png,,142.169.193.112,3680886042114363552,Edit Submission
